country,Year,K mineral fertilization (ktK),N mineral fertilization (ktN),P mineral fertilization (ktP),N supply (kg/cap/y),N supply (kt/y),Population (Mhab),All Animals Amount excreted in manure (ktN),All Animals Losses from manure treated (ktN),All Animals Manure applied to soils (ktN),All Animals Manure left on pasture (ktN),All Animals Manure management (treated) (ktN),non ruminants Amount excreted in manure (ktN),non ruminants Losses from manure treated (ktN),non ruminants Manure applied to soils (ktN),non ruminants Manure left on pasture (ktN),non ruminants Manure management (treated) (ktN),ruminants Amount excreted in manure (ktN),ruminants Losses from manure treated (ktN),ruminants Manure applied to soils (ktN),ruminants Manure left on pasture (ktN),ruminants Manure management (treated) (ktN),N croplands Input (ktN),N croplands Atmospheric Deposition (ktN),N croplands Biological Fixation (ktN),N croplands Manure applied to Soils (ktN),N croplands Mineral fertilizers (ktN)
World,2002,19251.562249787235,84402.25848,14872.239665211266,4.384672,27034.072297792,6165.586,107358.50606616048,6999.041752933696,24279.04566328977,73555.26798518952,30862.571426843402,18990.66296988234,1648.311345794346,10099.929084680605,7308.121593682946,11674.294933010618,88367.84309627811,5350.730407139352,14179.116578609166,66247.1463915066,19188.276493832785,142234.0775921,13791.818751800001,24491.8772493,22450.94111,79088.5107864
World,2003,20337.34187425532,87167.15199,15418.159384366198,4.403943999999999,27478.443819551994,6239.508,108510.2098396073,6971.11642494652,24275.28897172547,74693.33144164835,30835.649554492527,19096.718785883153,1667.44976956224,10113.376349377879,7383.7353376229275,11705.052315963381,89413.49105372415,5303.666655384281,14161.912622347592,67309.59610402543,19130.597238529142,145208.88627669998,13844.298545700001,25578.9476273,22465.446491799998,80831.8485827
World,2004,22801.343104468084,89469.90771,16439.604441830987,4.416791999999999,27886.838499023994,6313.822,110121.03983888743,6917.898011780039,24426.103494155435,76143.48998507086,30947.326599246568,19368.436359648724,1646.413184293048,10230.925831645065,7555.64886478547,11804.28470212769,90752.6034792387,5271.48482748699,14195.177662510368,68587.84112028539,19143.041897118874,149788.3701742,14067.303771199999,26970.4315339,22623.3385063,83624.0433829
World,2005,22535.550246382976,90101.07468,16555.654098873238,4.442487999999999,28381.460978807994,6388.641,111830.30127444142,6890.0366944246725,24661.577092612,77572.1847852491,31165.600654043283,19726.692835728187,1652.470335435654,10426.466774547212,7710.969990320329,12006.784687014308,92103.60843871321,5237.566358989018,14235.110318064784,69861.21479492878,19158.815967028968,151652.9923837,14544.2234196,27678.721689500002,22850.6996416,84095.19803740001
World,2006,22512.366829148938,93019.51109999999,17170.731661267604,4.484536,28988.33219884,6464.065,112847.18640140576,6908.924268190383,24935.969722240476,78200.74720430697,31463.48608128712,20103.567689654912,1683.4613271995281,10662.620026689652,7821.751747223168,12272.481643530911,92743.61871175087,5225.462940990855,14273.349695550822,70378.9954570838,19191.004437756208,155886.3936149,14715.419523600001,27778.6712445,23117.1768547,87802.5457227
World,2007,26007.458332340422,96318.00987000001,16994.533891830986,4.561624,29832.660591704003,6539.921,114370.2540132952,6907.453440938011,25168.652265519173,79402.29435791548,31694.233507281708,20525.727169166355,1696.973168391362,10848.593729013022,8046.900059527832,12469.792779087415,93844.52684412885,5210.48027254665,14320.058536506147,71355.39429838765,19224.44072819429,158192.3893581,14700.11916,27645.5651696,23340.409292800003,89970.7446632
World,2008,22139.527675531914,94645.75345999999,15250.979178732396,4.597832,30420.893340192,6616.356,115485.67830974067,6939.886988166452,25491.115960522042,80127.40836380061,32054.22148295945,20943.21974803315,1703.791363273246,11091.115775920072,8211.728556321366,12721.65640548908,94542.45856170755,5236.095624893207,14400.00018460197,71915.67980747923,19332.565077470368,157183.093072,14636.0563263,28884.9753625,23653.9646054,87460.76624160001
World,2009,18904.44683234042,97165.77590000001,16690.01191056338,4.606592,30833.69379392,6693.385,116212.14410592322,6904.38786293826,25746.338545298277,80578.09088557775,32280.562324607476,21274.984511437346,1703.7122509965839,11327.257880499204,8304.377901819698,12959.552527136595,94937.15959448586,5200.675611941678,14419.080664799072,72273.71298375807,19321.00979747088,162000.3270041,14950.0966389,28727.384316300002,23923.8187097,91851.1613923
World,2010,24401.622304468085,101340.26397,18894.969147887325,4.675504,31657.739398416,6770.979,116572.67772476688,6889.980029808618,25950.711699199826,80715.83542752796,32473.287300517037,21604.916042325647,1717.656142618822,11567.454942105585,8381.532478706244,13211.924032805622,94967.76168244124,5172.323887189797,14383.256757094237,72334.3029488217,19261.363267711407,166902.45871459998,15067.3801229,31566.281227000003,24122.3481191,93632.9785341
World,2011,26400.6894906383,104994.42615,19273.11238732394,4.701200000000001,32193.154730800008,6847.859,117212.77307092781,6829.467626615664,25816.28584056494,81504.96194449998,32285.761766187,21502.185401994153,1716.437737373431,11504.363606635063,8343.47331401703,13148.40693419299,95710.58766893364,5113.029889242233,14311.922233929883,73161.48863048294,19137.35483199402,170878.0099181,15025.6424241,31557.0183317,23997.5973514,97729.57432510001
